,BIN,HouseNumber,StreetName,Borough,CBNo,WorkPermitNumber,AHV Permit Number,AHVPermitStatus,VarianceType,reasonforvariance,Variance Start Date-Time,Variance End Date-Time,Is_a_residence_within_200feet_of_the_site,Is_all_the_work_within_an_enclosed_building,Does_work_involve_full_or_partial_demolition,Does_any_of_the_work_involve_crane_use,Latitude,Longitude,Community Board,Council District,Census Tract,BBL,NTA
3754,1090825,10,VANDERBILT AVENUE,MANHATTAN,105,M00333692-I1-MS,M5210096,AHV Permit Issued,Initial,Public Safety,11/18/2020 06:00:00 PM,11/19/2020 12:00:00 AM,false,true,true,false,40.752732,-73.978138,5,4,94,1012770027,Midtown-Midtown South
44180,1080644,620,AVENUE OF THE AMERICAS,MANHATTAN,105,"M00538263-I1-GC, M00538267-I1-MS",M8894348,AHV Permit Issued,Renewal,Construction activities with minimal noise impact,09/16/2021 06:00:00 PM,09/17/2021 02:00:00 AM,true,true,false,false,40.740081,-73.994843,5,3,54,1008207505,Hudson Yards-Chelsea-Flatiron-Union Square
64409,2092075,1451,WASHINGTON AVENUE,BRONX,203,"X00450946-I1-SF, X00217327-I1-SH, X00217323-I1-FN",X4805529,AHV Permit Issued,Initial,Public Safety,11/29/2021 06:00:00 PM,11/29/2021 11:59:00 PM,true,false,false,false,40.836458,-73.904016,3,16,14702,2029020036,Claremont-Bathgate
38932,1010379,375,HUDSON STREET,MANHATTAN,102,M00542319-I1-GC,M8031608,AHV Permit Issued,Initial,Public Safety,10/18/2021 06:00:00 PM,10/19/2021 07:00:00 AM,true,true,true,false,40.728435,-74.007151,2,3,37,1005990064,SoHo-TriBeCa-Civic Center-Little Italy
50013,1035403,390,MADISON AVENUE,MANHATTAN,105,M00582328-I1-GC,M3255248,AHV Permit Issued,Initial,Public Safety,09/16/2021 06:00:00 PM,09/17/2021 06:00:00 AM,true,true,false,false,40.755738,-73.977152,5,4,94,1012820017,Midtown-Midtown South
56904,1016047,452,FIFTH AVENUE,MANHATTAN,105,M00573553-I1-GC,M2689247,AHV Permit Issued,Renewal,Public Safety,10/29/2021 06:00:00 PM,10/30/2021 02:00:00 AM,true,true,true,false,40.752335,-73.982416,5,4,84,1008410049,Midtown-Midtown South
35660,1036505,425,PARK AVENUE,MANHATTAN,105,"140906330-01-EW-OT, M00201646-I1-MS, M00205508-I1-ST",M3985153,AHV Permit Issued,Initial,Public Safety,07/21/2021 06:00:00 PM,07/21/2021 11:59:00 PM,true,false,true,false,40.760512,-73.971541,5,4,100,1013100001,Turtle Bay-East Midtown
4409,1026318,10,COLUMBUS CIRCLE,MANHATTAN,104,"123790282-01-EW-OT, 123790282-02-EW-OT, M00231549-I1-ST, M00224953-I1-MS, M00210238-I1-MS",M7408183,AHV Permit Issued,Initial,Construction activities with minimal noise impact,12/11/2020 06:00:00 PM,12/11/2020 10:00:00 PM,true,true,false,false,40.768244,-73.982339,4,3,145,1010497501,Lincoln Square
6338,1036156,405,LEXINGTON AVENUE,MANHATTAN,106,M00243127-I1-SH,M5216149,AHV Permit Issued,Initial,Public Safety,11/08/2019 06:00:00 PM,11/09/2019 07:00:00 AM,true,false,false,false,40.751823,-73.97576,6,4,92,1012970023,Turtle Bay-East Midtown
2940,3097755,2300,LINDEN BOULEVARD,BROOKLYN,305,B00395075-I1-MS,B8026086,AHV Permit Issued,Initial,Public Safety,10/30/2020 09:00:00 PM,10/31/2020 07:00:00 AM,false,true,false,false,40.663888,-73.878265,5,42,1116,3043620001,East New York
