,BIN,HouseNumber,StreetName,Borough,CBNo,WorkPermitNumber,AHV Permit Number,AHVPermitStatus,VarianceType,reasonforvariance,Variance Start Date-Time,Variance End Date-Time,Is_a_residence_within_200feet_of_the_site,Is_all_the_work_within_an_enclosed_building,Does_work_involve_full_or_partial_demolition,Does_any_of_the_work_involve_crane_use,Latitude,Longitude,Community Board,Council District,Census Tract,BBL,NTA
66241,3201629,3117,AVENUE W,BROOKLYN,315,005905331005905291005905301,4844128,AHV PERMIT ISSUED,RENEWAL,CONSTRUCTION ACTIVITIES WITH MINIMAL NOISE IMPACT,12/17/2021 06:00:00 PM,12/17/2021 11:59:00 PM,TRUE,FALSE,FALSE,FALSE,40.596757,-73.933499,15,46,570,3073930001,SHEEPSHEAD BAY-GERRITSEN BEACH-MANHATTAN BEACH
40990,4059955,59-57,56 AVE,QUEENS,405,004854671,7797078,AHV PERMIT ISSUED,INITIAL,PUBLIC SAFETY,09/18/2021 08:00:00 AM,09/18/2021 05:00:00 PM,TRUE,FALSE,FALSE,FALSE,40.725282,-73.907196,5,30,531,4026880055,MASPETH
6314,3127746,275,WEBSTER AVE,BROOKLYN,314,000343581,1744091,AHV PERMIT ISSUED,INITIAL,PUBLIC SAFETY,04/21/2018 06:00:00 AM,04/21/2018 06:00:00 PM,TRUE,FALSE,FALSE,FALSE,40.632894,-73.970716,14,40,482,3054170058,FLATBUSH
40620,1016951,295,5 AVE,MANHATTAN,105,00318610100348205112384253801,6804259,AHV PERMIT ISSUED,RENEWAL,PUBLIC SAFETY,09/13/2021 06:00:00 PM,09/13/2021 11:00:00 PM,TRUE,TRUE,TRUE,FALSE,40.746333,-73.986084,5,4,74,1008600001,MIDTOWN-MIDTOWN SOUTH
61483,3401193,247,WILLIAMS AVE,BROOKLYN,305,005289841,5152437,AHV PERMIT ISSUED,INITIAL,PUBLIC SAFETY,11/06/2021 07:00:00 AM,11/06/2021 06:00:00 PM,TRUE,TRUE,FALSE,FALSE,40.669886,-73.899206,5,42,1134,3037510005,EAST NEW YORK (PENNSYLVANIA AVE)
28505,1090825,10,VANDERBILT AVE,MANHATTAN,105,004464801,7228946,AHV PERMIT ISSUED,INITIAL,PUBLIC SAFETY,05/28/2021 06:00:00 PM,05/29/2021 02:00:00 AM,FALSE,TRUE,FALSE,FALSE,40.752732,-73.978138,5,4,94,1012770027,MIDTOWN-MIDTOWN SOUTH
18544,1035328,475,5 AVE,MANHATTAN,105,004528431,5078354,AHV PERMIT ISSUED,INITIAL,PUBLIC SAFETY,02/09/2021 06:00:00 PM,02/10/2021 02:00:00 AM,TRUE,TRUE,TRUE,FALSE,40.752664,-73.98147,5,4,82,1012750069,MURRAY HILL-KIPS BAY
4893,1014387,1,PENN PLZ,MANHATTAN,105,001056721,1759889,AHV PERMIT ISSUED,INITIAL,PUBLIC SAFETY,04/04/2019 06:00:00 PM,04/05/2019 06:00:00 AM,TRUE,FALSE,FALSE,FALSE,40.751098,-73.992926,5,3,101,1007830070,MIDTOWN-MIDTOWN SOUTH
2041,1001026,120,BROADWAY,MANHATTAN,101,12384002201002851021002850561,3748493,AHV PERMIT REJECTED,INITIAL,PUBLIC SAFETY,09/25/2020 06:00:00 PM,09/26/2020 01:00:00 AM,TRUE,FALSE,FALSE,FALSE,40.708546,-74.011041,1,1,7,1000477501,BATTERY PARK CITY-LOWER MANHATTAN
22384,1036082,767,5 AVE,MANHATTAN,105,004838591,8591167,AHV PERMIT REJECTED,INITIAL,PUBLIC SAFETY,04/30/2021 06:00:00 PM,05/01/2021 02:00:00 AM,FALSE,TRUE,TRUE,FALSE,40.76402,-73.973189,5,4,11202,1012940001,MIDTOWN-MIDTOWN SOUTH
